"Tab","j","k","l","s","d","f","a",";","t","h","p","o","m","n","v","i"
99,160,126,64,297,352,108,337,113,101,94,97,52,57,73,72,134
,101,51,99,125,167,86,109,22,,,102,119,,83,,96
,155,40,41,148,215,142,144,124,,,264,86,,36,,65
,126,42,42,137,226,132,114,75,,,,91,,82,,
,103,86,58,186,151,81,430,27,,,,69,,81,,
,152,82,64,141,102,138,212,152,,,,121,,61,,
,116,90,58,136,700,140,163,,,,,101,,74,,
,127,53,83,145,410,131,164,,,,,60,,70,,
,104,76,,155,154,89,189,,,,,81,,72,,
,156,59,,146,154,102,158,,,,,109,,74,,
,135,83,,146,161,106,193,,,,,82,,85,,
,105,154,,162,190,91,191,,,,,71,,83,,
,118,49,,209,200,97,136,,,,,55,,70,,
,116,75,,149,151,91,147,,,,,,,97,,
,444,116,,191,157,110,204,,,,,,,,,
,131,86,,181,187,83,137,,,,,,,,,
,2709,,,149,186,77,116,,,,,,,,,
,129,,,21,140,121,120,,,,,,,,,
,137,,,121,130,99,136,,,,,,,,,
,464,,,130,158,108,359,,,,,,,,,
,387,,,132,426,110,126,,,,,,,,,
,184,,,125,170,110,126,,,,,,,,,
,,,,115,235,103,97,,,,,,,,,
,,,,128,187,100,515,,,,,,,,,
,,,,135,219,63,155,,,,,,,,,
,,,,155,,99,,,,,,,,,,
,,,,105,,,,,,,,,,,,
,,,,196,,,,,,,,,,,,
,,,,234,,,,,,,,,,,,
,,,,167,,,,,,,,,,,,
