"Tab","a","k","s","l","j","d","f","t","h","i"," ","o","w",";","e","g","n","v","u","q","Shift","T","y","Backspace","r","I","p","b",".","c","m"
100,61,41,74,62,19,50,137,107,142,14,134,93,139,206,83,75,71,74,59,47,242,99,68,78,120,90,84,108,60,69,96
84,38,81,80,62,30,88,118,3712,101,50,130,103,111,56,75,90,84,68,40,65,261,,86,84,125,76,101,102,,117,100
105,35,47,96,46,63,34,115,2885,62,128,83,65,90,112,26,115,55,,20,103,263,,51,62,101,85,100,98,,66,85
,71,51,105,66,85,51,91,2186,3160,54,99,66,92,,19,85,102,,69,,168,,70,87,119,84,,101,,138,102
,90,32,94,62,57,71,84,1507,4887,69,96,84,57,,35,,57,,46,,250,,70,70,87,,,100,,,
,101,37,39,92,46,42,95,197,5380,34,99,67,67,,40,,77,,40,,169,,67,67,110,,,85,,,
,123,44,42,125,61,67,116,143,2817,23,82,84,131,,100,,68,,50,,,,,60,120,,,,,,
,90,73,18,58,50,69,110,550,2885,100,67,69,97,,98,,54,,48,,,,,47,140,,,,,,
,134,48,93,46,46,13,125,2345,608,69,85,74,99,,106,,81,,65,,,,,65,,,,,,,
,69,123,76,84,51,53,120,534,2967,85,66,67,92,,120,,62,,53,,,,,88,,,,,,,
,212,129,14,82,45,24,111,332,1612,101,99,68,95,,61,,77,,75,,,,,85,,,,,,,
,146,85,49,100,33,20,100,295,2712,63,96,68,121,,99,,39,,67,,,,,85,,,,,,,
,67,51,13,68,54,73,133,713,2235,84,94,84,137,,97,,59,,88,,,,,,,,,,,,
,69,40,81,53,67,58,579,4341,5301,48,84,84,136,,52,,68,,73,,,,,,,,,,,,
,84,36,15,67,36,73,153,1343,60,68,69,84,88,,69,,82,,99,,,,,,,,,,,,
,101,88,92,68,84,44,601,650,95,88,81,87,,,85,,85,,68,,,,,,,,,,,,
,92,56,86,70,113,75,203,265,85,71,69,88,,,100,,84,,46,,,,,,,,,,,,
,142,67,82,101,69,68,178,2113,97,87,61,85,,,51,,86,,66,,,,,,,,,,,,
,95,88,119,85,72,27,181,1269,102,68,101,68,,,80,,75,,,,,,,,,,,,,,
,151,73,77,69,66,166,320,102,61,84,85,114,,,33,,53,,,,,,,,,,,,,,
,99,,183,59,101,78,166,101,85,73,85,57,,,101,,66,,,,,,,,,,,,,,
,117,,85,69,69,59,194,112,97,61,83,55,,,101,,84,,,,,,,,,,,,,,
,131,,102,84,67,30,182,88,86,89,86,68,,,129,,69,,,,,,,,,,,,,,
,85,,100,38,,114,198,100,,91,84,86,,,83,,85,,,,,,,,,,,,,,
,77,,84,,,70,199,104,,101,61,,,,101,,87,,,,,,,,,,,,,,
,83,,85,,,116,186,46,,69,84,,,,99,,86,,,,,,,,,,,,,,
,960,,132,,,88,187,101,,67,100,,,,86,,89,,,,,,,,,,,,,,
,3833,,68,,,100,194,95,,83,70,,,,87,,78,,,,,,,,,,,,,,
,546,,88,,,60,237,99,,84,100,,,,64,,82,,,,,,,,,,,,,,
,984,,85,,,92,151,79,,100,96,,,,85,,85,,,,,,,,,,,,,,
,347,,100,,,117,1292,101,,,96,,,,84,,64,,,,,,,,,,,,,,
,1820,,102,,,117,100,101,,,102,,,,69,,71,,,,,,,,,,,,,,
,1504,,110,,,116,86,76,,,86,,,,118,,84,,,,,,,,,,,,,,
,115,,86,,,84,81,69,,,70,,,,100,,,,,,,,,,,,,,,,
,5466,,118,,,,,102,,,67,,,,67,,,,,,,,,,,,,,,,
